i	xhat	x_rek	x_srk	x_gerk_ad	x_gerk_bd
1	0	0.776279785204925	0	0	0
2	0	1.42985029846761	0.440706125043556	0.835336582000933	0
3	0	0.278050514018082	0.617857267865668	0.38601000378349	0
4	0	1.13517259000597	0	0	0
5	0	1.81446623841993	0.89093204482567	0.847816318109356	0
6	0	0.800859868382269	0	0	0
7	0	1.08426366306391	0.60163291942389	0.662297320154815	0
8	0	0.511710603780127	0	0.276103530772122	0
9	0	1.17971446423939	0.0077560205732361	1.11922928100244	0.00181924876795847
10	1.7419403153994	1.60473874307154	2.67660878176466	2.38711083401594	1.74024994638823
11	0	0.425872585427041	0.968230378347496	0.748261209848344	0
12	0	1.53764274119296	1.4341163742054	1.07279046440364	0
13	0	1.54317651617176	0.756657943159036	1.57336579459146	0
14	0	1.29083955917343	0.190359403072392	0	0
15	1.25388906933563	0.60517421252632	0.770586546702287	0.457576687804881	1.25377731133442
16	0	0.305290688909039	0	0	0
17	0.58099996081203	1.66650285641652	2.03816133377315	1.11392773538301	0.581201481991682
18	0.266722381936375	1.06276382719746	1.23733350585027	1.12276313977618	0.266394905222512
19	0	1.52315539338402	1.59921939200811	1.74874573048978	0
20	0	0.236338871497369	0	0	0
21	0	0.608928025865263	0.798709090366605	0.501859549036185	0
22	0	0.740326194398009	0	0.148146828161389	0
23	0	1.07642963738774	0.399955043638732	0.3957957434259	0
24	0	1.38862655359053	0.517388304264264	0.349624887134114	0
25	0	0.970656737189132	1.41654022538482	1.33106246908835	0
26	0	1.28085676349819	0.495525357087613	0.86419076680993	0
27	0	1.25828142285753	1.35958449267921	1.59922143608159	0.000126509157540866
28	0	0.563721118256125	1.08581639864319	0.319818204105958	0
29	0	1.23882425392689	1.34571569355805	0.777093613203556	0
30	0	0.59018647299702	0	0	0
31	0	0.539995698849402	0	0	0
32	0	0.425477450472016	0.520522780853204	0.427430038195666	0
33	0	0.234604619535061	0	0	0
34	0	0.457579592092662	1.36817743680577	0.68553924412771	0
35	0	1.4554270618838	1.2788764383126	1.23438185559902	0.00126816762358217
36	0	1.5605440042606	0.829790624468879	0.559797628095023	0
37	0	0.415544635757638	0.279173581795169	0.230425600045308	0
38	0	0.126877013562524	0	0	0
39	0	0.744705994074664	0.851418443873138	0.268023253793947	0
40	0	0.420476204468841	0	0	0
41	0	0.383046772379807	0	0	0
42	0	0.782282867703265	0.811299166334262	0.819773484400702	0
43	0	1.9207360086272	1.67493066787453	1.56032798296907	0
44	0	2.01706023809976	0.938104508765388	0.746530831988839	0
45	0	0.747272223549355	0.00545026122594727	0.745265763036851	0
46	0	0.531702953567797	0	0.0777899436122045	0
47	0	0.94714460941518	0.269301925619693	0.12092520378968	0
48	0	1.00787994176288	0.926643785530814	1.33064502975106	0
49	0	0.652146338553842	0	0.0561342527259274	0
50	0	0.816530452401398	0	0.0663451919789342	0
51	1.65736989447702	0.888413611027283	1.48807674017685	1.23087724944517	1.65842084140106
52	0	0.194154333876827	0	0	0
53	0	0.911056215243549	0	0	0
54	0	0.390230807018105	0.00255830287974845	0.244011259732167	0
55	0	0.240825420974699	0.494771116939834	0.284047144098766	0
56	0	0.539973770059835	0.425985122460469	0.228085138723285	0
57	0	0.526915236507424	0.662542289619587	0.606935553789956	0
58	0	0.982657218404575	0.96923797388391	0.616850727963664	0
59	0	1.19939781439028	0	0	0
60	0	1.2967623200553	0.76756769605274	0.772209767266004	0
61	0	0.695897529900891	0	0	0
62	0	1.2295233701628	0.552711819957876	0.86639119919189	0
63	0	0.565967983305554	0	0.32956925213959	0
64	0	2.13522505464391	1.5622887534578	2.26709051891737	0
65	0	0.813317822016723	0	0	0
66	0	1.00991559507135	0.429832577228092	0.693657263952751	0
67	0	0.834526761109892	0.590018783891685	0	0
68	0	0.249996734458875	0.511068200838762	0.272119033018635	0
69	0	0.598718696969879	0	0.563768173710589	0
70	0	0.756677353022075	0	0	0
71	0	0.837775216058698	0.43882958209244	0.568312913008667	0
72	0.777802457317656	1.45987070403444	2.59854357197628	2.08504823866342	0.777163670026177
73	0	0.65711631398986	0	0	0
74	0	1.46959068817659	1.92898955721681	1.09850959017796	0
75	0	1.37344389922137	0.0334977252400463	0.348358749838919	0
76	0	0.424582666515482	0	0.180092498790495	0
77	0	1.1463947675056	0	0.889272651681825	0
78	0	0.581795549907401	0	0	0
79	0	0.406545132121748	0	0	0
80	2.00455648104479	1.40279776985058	0.604587316019359	0.868991385641761	2.00408490251051
81	0	0.427865859490675	0	0	0
82	1.40412079567399	2.12342869726654	2.36432155575501	1.8770557328993	1.40582789734428
83	0	0.500631755303865	0	0	0
84	0	0.160599379655963	0	0.0711434178299193	0.000698692296712267
85	0	0.879686718246271	0.346898014528593	0.361796847385495	0
86	0	0.388078606870752	0	0	0
87	0	0.777231052539475	0.805357655131115	0.454491915385731	0
88	0	1.14180212582501	0.283805495429458	0.506953076284612	0
89	0	0.762642200570915	0.6957450477589	0.535722829963028	0
90	0	0.0975704169200223	0	0	0
91	0	1.47697561311887	1.308785440647	1.60842496909122	0
92	0	0.858744256718163	1.07558243823776	0.686169242659297	0
93	0	0.393120623845348	0	0	0
94	0	1.01631038704556	0	0	0
95	0	0.493833578263758	0.743659250549268	0.321322526738422	0
96	0	0.826893899888308	0.81998405580725	0.259969063966031	0
97	0	1.3014513129068	1.30599656054951	0.586681392416887	0
98	0	0.987951682835994	1.16033518773163	1.19603130160836	0
99	0	0.517546579277257	0.555924151633704	0.00545819612731435	0
100	0	0.294951398668783	0.0360706195276688	0.155737417339765	0
101	0	1.38449999655761	0.935022418746794	0.6976755060697	0
102	0	0.517575486909135	0.408109977366802	0.805824064043659	0
103	0	1.06078007431612	0.930238281934885	0.47467858676103	0
104	0	0.715213105034624	0.556603940072925	0.138420385807745	0
105	0	1.18717362667003	0.684702908249459	0.940738149386028	0
106	0	0.794925724323361	0.274664421137942	0.348660192519061	0
107	0	1.46560289859913	1.73733454818001	1.22635841482573	0
108	0	0.590990965261901	0	0.217821353142959	0
109	0	1.31113115276978	0.86649979619329	0.658960932013176	0
110	0	1.31629560260994	1.21303766682858	1.3238349675781	0
111	0	0.193170420532023	0	0	0
112	0	0.636930533822305	0	0	0
113	0	0.578047312100406	0	0	0
114	0	0.695022166719774	0	0	0
115	0	1.03202758410458	1.02679993656849	1.28249960899473	0
116	0	0.269040098482833	0	0	0
117	0	1.29962403008045	0.904736591226012	0.94739763232203	0
118	0	1.22067111262104	0.510422266907547	0.457671814353482	0
119	0	0.218479625609216	0.107020392215453	0.28845839048283	0
120	0	0.432685923380609	0	0	0
121	0	0.447276435031777	0	0	0
122	0	1.03842210268141	0	0.506533512387698	0
123	0	0.722870534826138	0	0	0
124	0	1.24391429212985	0.163487171884245	0.430034537394082	0
125	0	1.20674966215471	0.352461346979061	0.688454402420405	0
126	0	0.497717445540274	0.204546760163678	0.624943689753224	0
127	0	1.23971701556627	1.15846609628748	0.941177511807133	0
128	0	0.250387269176216	0	0	0
129	0	1.20448726988555	1.67850374055499	1.21799855363644	0
130	0	0.506616502688028	0	0.305162347632704	0
131	0	1.78929402903936	1.31440129160563	1.60954950796486	0
132	0	0.588358042046088	0	0.183003252541733	0
133	0	0.106052464920091	0	0	0
134	0	1.06475838931631	0	0	0
135	0	0.800563605784316	0.955996584623096	1.21164127517949	0
136	0	1.39455576011585	1.35090550278174	1.35850835617523	0
137	0	0.503907802102145	0.864110123771603	0.690921479637424	0
138	0	0.681397933508008	0.258742315862074	0.954837382775969	0
139	0	1.33900683879313	0	0.15297661806359	0
140	0	0.811355429244007	0.161769019331921	0.627842717648227	0
141	0	1.38847186610054	0.944139848528403	1.19384525947943	0
142	0	1.01071934500829	0.764690756104956	0.84508376789657	0
143	0	1.18036940620099	1.30013619021515	1.01504027375933	0
144	0	0.977039049294004	0	0.015430699116898	0
145	0	0.450495293318076	0.157421580482117	0.19954968125786	0
146	0	0.417062498203199	0	0	0
147	0	0.337628122309235	0	0	0.000165080610452506
148	0	0.9252783829061	0	0	0
149	0	0.793192646767509	0	0	0
150	0	0.329815127287744	0.377443503953289	0	0
151	0	2.18075613219113	3.07196507802229	2.02855833071905	0
152	0	1.27224999172689	1.42262219812218	1.03432439164938	0
153	0	1.22709927641636	0.939336896171051	0.624137668546812	0.000884045593920746
154	0	1.09930304833134	0.974424839165245	1.27091873225657	0
155	0	1.03847837571325	1.81575734684385	1.19264215901047	0
156	0	0.95441039005048	0.952039513987229	1.08248298511594	0
157	0	1.10013563496725	0.577168290040223	1.07185736988553	0
158	0	1.44407073011524	0	0	0
159	0	0.392175734729302	0	0	0
160	0	1.51514480611109	0.282707923010474	0.141716306482795	0
161	0	0.576315303976399	0	0	0
162	0	0.694064728190515	0	0	0
163	0	0.221890527022789	0.606737388383836	0.393662676295165	0
164	0	0.504491260606138	0	0	0
165	0	1.11001809610827	0.817973497251392	0	0
166	0	0.273101007125425	0	0	0
167	0	0.417108255821308	0.730992669970661	0.223349102205121	0
