k	min_rek	min_srk	min_gerk_ad	max_rek	max_srk	max_gerk_ad	median_rek	median_srk	median_gerk_ad	quant25_rek	quant25_srk	quant25_gerk_ad	quant75_rek	quant75_srk	quant75_gerk_ad
1	12.4028681321917	14.4877029340265	14.4877029340265	14.320377309399	15.886040041293	15.886040041293	13.3683164731319	15.1774138488317	15.1774138488317	13.1050013285292	14.9433899267335	14.9433899267335	13.7348132510724	15.3233477177491	15.3233477177491
101	9.71428312684441	14.4877029340265	14.4877029340265	12.0578356320679	15.886040041293	15.886040041293	10.7787154356305	15.1774138488317	15.1774138488317	10.2960165365365	14.9433899267335	14.9433899267335	11.2783195923582	15.3233477177491	15.3233477177491
201	7.71251252345391	14.4877029340265	14.4877029340265	9.72908684655354	15.886040041293	15.886040041293	8.75381663263795	15.1615675158355	15.1774138488317	8.35620069981671	14.9433899267335	14.9433899267335	9.14675759340401	15.3115336476724	15.3233477177491
301	5.99286761858508	14.4877029340265	14.4877029340265	8.15283608665607	15.886040041293	15.886040041293	7.13066755005856	15.1359075512307	15.1774138488317	6.90922040580721	14.9339277412288	14.9433899267335	7.43199453047945	15.3100661302088	15.3233477177491
401	5.12550558432153	14.4516611490628	14.4877029340265	6.68913053191667	15.886040041293	15.886040041293	6.09362346389351	15.1615675158355	15.1774138488317	5.87351427329476	14.924716554001	14.9433899267335	6.24454311410905	15.3052383229613	15.3233477177491
501	4.33084379814414	13.6273168518555	14.4877029340265	6.17427532979473	15.886040041293	15.886040041293	5.26454299193843	14.9922756550079	15.1774138488317	4.97178463847508	14.7531507808933	14.9433899267335	5.45985675426362	15.2279383985827	15.3233477177491
601	3.78451039714785	12.9689285478695	14.4877029340265	5.08900056689463	15.886040041293	15.886040041293	4.55968597071853	14.7910167579693	15.1774138488317	4.35955263704204	14.4559682360786	14.9433899267335	4.80384016608301	15.1155295029651	15.3233477177491
701	3.53141360876637	12.7055289573907	14.2790892507341	4.80650446991312	15.759900557256	15.886040041293	4.02875464974673	14.4483650810487	15.1461993620545	3.83439335888892	13.7190801332528	14.924716554001	4.16055872325456	14.807397068164	15.3115336476724
801	3.01519667738416	12.1523411708998	13.584333501045	4.07879859438027	15.7185915148302	15.886040041293	3.6011157768069	13.8999041913252	15.0232270438188	3.40055505312946	13.2559679500381	14.7925720431947	3.70170039375679	14.5714999576137	15.3053330561705
901	2.68456117327426	11.8685506645042	12.3931015236612	3.47719179404926	15.7627394686558	15.886040041293	3.20741153271752	13.677870936135	14.9703266486201	2.99423263478524	12.9541763182165	14.5663911676236	3.26718572406262	14.3964723617145	15.2279383985827
