i	xhat	x_rek	x_srk	x_gerk_ad
1	0	-0.0351822328240951	-0	0
2	0	0.0693832788628265	0	0
3	0	0.052583362161195	0	0
4	0	-0.157401524592032	0	0
5	0	-0.057111043212956	-0.331024594038009	-0
6	0	0.103970551375949	0.641069113978147	0
7	0	-0.156277251810229	-0.611919080054724	-0
8	0	0.112895195809436	0	0
9	0	-0.0619930123660795	-0.502696902519247	0
10	0.0380781968087268	-0.113577814692865	-0	0.0381300108343696
11	0	-0.0195076340290917	-0	0
12	0	0.0107801588214411	0	0
13	0	0.0242204837864807	0	-0
14	0	-0.0601669725470098	0	-0
15	1.92622504896627	0.894688763835755	0.934889758270305	1.92649555534778
16	0	-0.181233074971524	-0	0
17	-0.0175414474590896	-0.175855581566222	0	-0.0179878160127283
18	-0.442942490939643	-0.277078105644142	-1.05322177485448	-0.443324724842699
19	0	-0.132359126441077	0	-0
20	0	0.0343848976899519	0	-0
21	0	0.0587648330305156	0	0
22	0	-0.129517883257817	-0	0
23	0	-0.0445608721420096	0	0
24	0	0.0913027706535926	0	0
25	0	0.0409185900197375	0	0
26	0	-0.0693103800075538	0	-0
27	0	0.0723944139823985	0.624362520474778	0
28	0	-0.0714634888122645	-0	0
29	0	-0.0297311619217215	0	0
30	0	0.087505322252551	-0	0
31	0	-0.0649228420830828	0	0
32	0	-0.0680494659943447	0	-0
33	0	0.0231461846460635	-0	-0
34	0	0.0636805484865661	0.35499339318235	-0
35	0	-0.0301764355255327	-0.504843788755111	0
36	0	-0.0308077915863858	0	-0
37	0	-0.00217098874578847	0	-0
38	0	0.194271875565522	0	0
39	0	0.160143015682668	-0	0
40	0	0.0234211786571383	-0	-0
41	0	-0.00514014820557368	0	0
42	0	0.0315714922664472	0.681046033736286	-0
43	0	-0.0019316208211301	0	0
44	0	0.0537606329116761	-0.58053013211382	-0
45	0	-0.011193379181408	-0	-0
46	0	-0.119285648633035	-0	-0
47	0	0.00321861625099437	-0	-0
48	0	0.0250309181871992	-0	-0
49	0	0.000749264044419486	0	-0
50	0	-0.00252768902803467	-0.30998262466527	0
51	0.750849442057728	0.466089707694007	0	0.750629304252069
52	0	0.114269342795597	0	0
53	0	0.0913473224935453	0	-0
54	0	-0.0571454626008734	-0	0
55	0	-0.0962120785030192	-0	-0
56	0	-0.0343456057238449	0.157071178294769	0
57	0	-0.103974544569929	-0	-0
58	0	0.0456808109234702	0	-0
59	0	0.0168729661466089	-0	-0
60	0	-0.0881728014389182	-0	-0
61	0	0.0731932417712974	0	-0
62	0	-0.170193868435861	0	-0
63	0	0.0130650663240075	-0	0
64	0	-0.100403652749373	0.265815633361961	-0
65	0	0.114851530310333	0	0
66	0	-0.141843713809754	-1.43738085690031	-0
67	0	-0.0303255412751216	-0	0
68	0	0.0558879964331587	-0	-0
69	0	-0.049492456333186	0	0
70	0	-0.202897124165514	-0.49075304297268	-0
71	0	-0.0827359376591641	0	0
72	0.078665361111307	0.153981086105365	0	0.0789218674883276
73	0	-0.0360370007127261	0	-0
74	0	0.0790123599672358	0	0
75	0	-0.00649659537574833	0	0
76	0	-0.166130620449358	-0	-0
77	0	-0.00141702714754387	0	0
78	0	0.000278372946224079	-0	0
79	0	-0.0317583097833778	0	-0
80	0.108547671699379	-0.0787309803322768	-0	0.108345067793842
81	0	0.039039681309851	-0	0
82	1.01093813038507	0.324876330039366	0	1.01096164881717
83	0	-0.0625132996334709	0	-0
84	0	0.120561106490848	-0	0
85	0	0.135440465951697	0	0
86	0	-0.0405607739342307	-0	-0
87	0	-0.103400549508584	-0	-0
88	0	-0.0175352938962486	0	-0
89	0	-0.0296071570148313	-0	-0
90	0	0.0525451608099794	0	0
91	0	-0.0459669627143025	0	-0
92	0	-0.0839211738227445	-0	-0
93	0	0.0220854617863067	0.523763723558257	0
94	0	0.0519521323420842	0	-0
95	0	-0.044437619776121	-0	0
96	0	0.0746197040226103	-0	0
97	0	-0.0536533686138735	-0	-0
98	0	-0.0803210849786509	0	0
99	0	-0.045766651772082	-0.100229664165625	-0
100	0	0.127364500025075	-0	0
101	0	0.162186260997218	0	0
102	0	0.093273647141831	-0	0
103	0	-0.126816637551085	-0	-0
104	0	-0.0977683089057602	0	-0
