k	min_rek	min_srk	min_gerk_ad	max_rek	max_srk	max_gerk_ad	median_rek	median_srk	median_gerk_ad	quant25_rek	quant25_srk	quant25_gerk_ad	quant75_rek	quant75_srk	quant75_gerk_ad
1	3.25802995640997	12.7039361017011	13.6039356509057	4.90162179515047	15.889541343047	16.0651328303605	3.90473285216708	15.0008938637114	15.2271832114356	3.64477927260928	14.4160348253165	14.9448068488376	4.13932092782419	15.2897635412506	15.3815763472771
801	1.53803203509132	10.2128840440022	9.52140548930422	2.49908226707616	18.8290446831345	15.1731854629704	1.87595687759266	12.7438591785427	13.0680468152631	1.72938794833268	11.8233142811502	11.2494020406434	2.01649686691766	14.4021120064358	14.1765201641284
1601	1.04799299975246	10.1270157475745	4.57298200245124	1.60079482167477	22.2908520181805	12.9726826161375	1.24883104488454	14.6026778222117	8.51342269766654	1.16470562500271	12.3194376164979	7.44981909800408	1.36578855849774	16.3293170604719	9.91624657716981
2401	0.767415804307011	9.693103309864	3.73015307196053	1.36305601501713	20.9398504620446	9.98302977153992	0.95088060531789	15.5586727243046	6.16836312875391	0.888676365123177	13.3377284422535	5.21300928169447	1.03427832030622	16.9908852334833	7.05816521315779
3201	0.540507863349301	10.4319825132754	2.57848778078152	1.13636194745334	25.9902338263994	7.84473179633566	0.779509575431752	15.9846632773446	4.42733915815498	0.687339665330239	14.0291712486189	3.96640690801365	0.839859015730513	18.5269528536791	5.43862671747073
4001	0.478406646987376	11.4613322451281	1.90373452977718	0.911798062232298	26.3516381482472	6.71266689544605	0.667980299216569	16.8719501763727	3.52776601732116	0.605982990104569	15.5917716616543	3.11817563668321	0.736646690490563	19.8511710871434	4.10540214035241
4801	0.357628392237361	12.1144449500934	1.6129830552389	0.8069212087111	27.9968252979094	5.01220195186998	0.568100701030622	17.4066043317455	2.93355161382408	0.524449401476821	15.3990303703095	2.5519356988513	0.63794822590819	19.7460847061144	3.58948701826303
5601	0.312029116897787	11.4395995579559	1.46706817981337	0.742432996545681	26.5285328188053	4.32079459958637	0.506380858410392	17.8730492722575	2.56266671447473	0.435705996973148	14.4934530060183	2.09990537662983	0.573276269420515	19.4846015638043	2.96173791534908
6401	0.299365484988077	12.1469430117344	1.06046803798727	0.65181256463901	23.5366736443028	3.82608551060941	0.4429416334822	17.2155818230776	2.1144377039893	0.411592636027003	15.5432864802075	1.77304633443217	0.492306794492948	19.3598032299686	2.67891742582419
7201	0.281472074813785	11.3444756635457	0.97887888739467	0.594492705373275	25.5885421005412	3.47015302770559	0.422747578743873	17.8436188359919	1.9048717581103	0.38458352135022	15.3766584826024	1.5558039528013	0.457560632542393	19.5695859961082	2.42543122339464
8001	0.271390755196496	13.4428644323993	0.738051130627594	0.536724058183603	25.3346894433159	2.94839326671367	0.373684014196193	18.0212831967719	1.63080320773877	0.347275594418862	16.1554646778521	1.34251159522399	0.442054854166923	20.8298399193917	1.9794561108751
8801	0.239760286083034	12.5001577412931	0.417829491094441	0.5054783860582	26.4376693790275	2.53769371200341	0.365758134437894	18.7639501052909	1.50298419350136	0.322504167454873	17.2048339273356	1.18639809418944	0.39636706491217	20.3723794038923	1.82790218965577
9601	0.229144713183406	13.7234549543046	0.274707483266563	0.499306854772222	25.8611878882127	2.10811451112598	0.325616558878579	17.9232272507277	1.35769798120132	0.30395412221975	16.9526167203861	1.05554776769102	0.364142163227175	19.823919702401	1.71717692650396
10401	0.225109941656466	12.5911980435482	0.217794331936949	0.437074371018136	24.6912986274377	2.0377397836559	0.320000456535237	18.5290836059742	1.20105635504978	0.27058550388069	16.9605064362378	0.987171154659174	0.361605621366027	20.2680473558944	1.48763955406681
11201	0.205500273934821	13.6161153229625	0.196309130715201	0.415328732944691	27.1919268021519	2.00485999860369	0.305808367976879	18.9254998321595	1.04669909293956	0.275671306988284	16.0096704597806	0.882270631809834	0.343834524332618	20.5179857497366	1.34903328496418
12001	0.205763080568775	11.5636099798907	0.190939705742296	0.390463316611989	25.861116828813	1.96267157990588	0.295026002200904	18.506642487322	0.923730464677527	0.248412194390106	15.9897358319947	0.742541927146634	0.325932662116058	20.3444409900251	1.22503936926358
12801	0.178470644246934	12.3390868383917	0.183232805029342	0.38688459185004	25.1582239254208	1.87453810287758	0.278901567599029	17.7850579160777	0.852438969767828	0.249890499807178	15.7751959349567	0.612090386389131	0.311979155462581	19.7171839189792	1.02753456306973
13601	0.163647705676232	14.8023674375779	0.164425202597044	0.381202159256519	25.4360869708573	1.64779891103245	0.273317714213682	18.5571467075395	0.786230203660663	0.238362247481808	17.0233457569868	0.558181994456707	0.303832063615091	20.2537426271485	0.97927563558993
14401	0.165701358480668	11.2369864363005	0.145825674294347	0.3629502882886	28.8766328934224	1.64158795404976	0.25274264809055	19.5098230460675	0.729994731877843	0.225192209234493	17.4921582071222	0.545090014066234	0.281602631819637	22.2001782299041	0.947044509452069
15201	0.151026099655088	12.4231032136941	0.140520871320818	0.324783175080469	28.8178635592347	1.58001210431046	0.246952500756667	18.8920632572699	0.672491095839407	0.208596042052325	16.4297268149223	0.468905009903629	0.284980175256085	20.8411475871164	0.920874590446768
16001	0.140463845400761	13.3275558744527	0.109908347773792	0.31769094713612	24.8433615684576	1.52450786053543	0.237017178526999	18.8859838953716	0.602430073162256	0.200079128848494	17.8110676719304	0.447444049797504	0.27207599215117	20.2397857070938	0.83297693979742
16801	0.126118685163455	13.7910855103662	0.0742186524970369	0.317911744539674	27.9278933376153	1.28998566075703	0.235708190403247	19.8691679679652	0.593581806675442	0.201957277612005	17.2331102997942	0.363867625476386	0.263358919340797	21.0148513914346	0.815785372059198
17601	0.119776636231762	10.1415691952816	0.0673215397113651	0.308203587203302	26.5974541639571	1.17055884368407	0.221564137269996	19.3167850235335	0.554644664381628	0.195853575158867	17.6560096669084	0.354374535163371	0.24423589661895	21.3094661076558	0.769316678459453
18401	0.113533795862898	14.1400312678747	0.0605646255123527	0.302758102386501	26.6946387648371	1.13508459596401	0.2158016890436	19.6502207144087	0.519969954189123	0.180929918126593	17.5119467171539	0.334834067829013	0.246050535662992	22.0643097615263	0.667253113333628
19201	0.121153349940113	11.329067360063	0.0626578481316992	0.272045468123746	25.8297004115461	1.09657556721567	0.202659210604372	20.2230652098801	0.429592843220819	0.183078550718572	17.7927191232823	0.325401392265872	0.240660403297517	21.6730570662335	0.645054400356535
