k	min_rek	min_srk	min_gerk_ad	max_rek	max_srk	max_gerk_ad	median_rek	median_srk	median_gerk_ad	quant25_rek	quant25_srk	quant25_gerk_ad	quant75_rek	quant75_srk	quant75_gerk_ad
1	0.812126040060231	0.86471746893788	0.889854762095665	0.873749879908182	1.01831061486323	1	0.845132217514809	1	1	0.835986854593196	0.992365786168583	1	0.859998063057935	1.00009211901799	1
801	0.764876887886895	0.7501621373621	0.655587503669227	0.841190245844785	1.27996807610573	1	0.802033423673056	0.937636315404537	0.880222813941593	0.791105416183551	0.844379139824147	0.799490342961945	0.81323700831723	1.01096293500637	0.947241683741476
1601	0.747916201291233	0.764129008606957	0.389929160772075	0.826839534589362	1.37762098900183	0.872430355844195	0.784299051635707	0.997401121580199	0.634074022586386	0.772796397272332	0.871779522906086	0.562112159399577	0.796172827037607	1.09542333577571	0.713316022746576
2401	0.74038731691455	0.756823945886881	0.318291061771096	0.817627876152138	1.33223871403164	0.671814944657012	0.776353056140807	1.0302128970521	0.482697347777788	0.763066566971536	0.942293686999341	0.435084934257207	0.785392188549401	1.10283393317162	0.538542153425097
3201	0.735868757098822	0.734693742786381	0.224661823326714	0.809528774438316	1.52494015357974	0.551887872585609	0.77088298745012	1.05841103836318	0.378061175703219	0.756106542622075	0.959965298387761	0.318880723437942	0.777323631774714	1.14060621315107	0.445211715125164
4001	0.731042388538958	0.797985897504479	0.155721361242973	0.804143132699241	1.35593416289511	0.471421445110782	0.765336025713757	1.10869553211414	0.30702358740966	0.751209006403063	0.996510125532587	0.25913170912493	0.771725065814083	1.20393847849277	0.345209298509256
4801	0.726062586212311	0.820039607289383	0.127307750626544	0.798650461992181	1.57557716085227	0.44437108573386	0.759992051477885	1.08335282020005	0.249784473573645	0.747058015129048	1.00095373277611	0.229149890400338	0.76684580679613	1.18650180806557	0.319466870038319
5601	0.721982732364187	0.79962149453307	0.123809011935088	0.793845100042502	1.59609051328218	0.369697439861207	0.757348791490049	1.1005226497473	0.227126000485098	0.743910572560731	0.961663618875712	0.194500038212827	0.764431241585096	1.23391201144751	0.252774434811015
6401	0.719300426233081	0.901225048529455	0.0980380449045664	0.790510252251361	1.52673449373013	0.336024897730702	0.755517204018277	1.11012186562106	0.193572128636545	0.740939192057591	0.990636458644187	0.160197773997059	0.762773413979686	1.18067622911714	0.240078711950454
7201	0.716907551937664	0.848985135809972	0.0916720763547173	0.787819825043342	1.49337198994159	0.287055612670489	0.754128890834371	1.0980452973403	0.179394280417228	0.739243661001511	0.99657891507678	0.142541165855615	0.761427561589504	1.19198214565207	0.20751143766427
8001	0.715111171072126	0.910770095028907	0.0635761409259506	0.78528484523784	1.52162627827887	0.239063907119816	0.752509664091055	1.14828739515808	0.15233276886451	0.737639811415962	1.011119562727	0.119092793258973	0.760383300591766	1.2641824778252	0.182229802934335
