k	min_rek	min_srk	min_gerk_ad	min_gerk_bd	max_rek	max_srk	max_gerk_ad	max_gerk_bd	median_rek	median_srk	median_gerk_ad	median_gerk_bd	quant25_rek	quant25_srk	quant25_gerk_ad	quant25_gerk_bd	quant75_rek	quant75_srk	quant75_gerk_ad	quant75_gerk_bd
1	2.07282794255681	2.37949791010212	2.37949791010212	2.37949791010212	4.67297931253344	5.14102855297108	5.14102855297108	5.14102855297108	3.18064647444828	3.54088236223126	3.54088236223126	3.54088236223126	2.83196859374985	3.09362325885245	3.09362325885245	3.09362325885245	3.43103860214882	3.75385056676507	3.75385056676507	3.75385056676507
401	1.92326000106813	2.37949791010212	2.37949791010212	2.37949791010212	4.33080375618889	5.14102855297108	5.14102855297108	5.14102855297108	3.01241668936057	3.54088236223126	3.54088236223126	3.54088236223126	2.69108918017396	3.09362325885245	3.09362325885245	3.09362325885245	3.30235171343392	3.75385056676507	3.75385056676507	3.75385056676507
801	1.88008032073946	2.35903409866059	2.37949791010212	2.37949791010212	3.99067464800715	5.14102855297108	5.14102855297108	5.14102855297108	2.86940205112502	3.54088236223126	3.54088236223126	3.54088236223126	2.53754213808502	3.09362325885245	3.09362325885245	3.09362325885245	3.07011092048233	3.75385056676507	3.75385056676507	3.75385056676507
1201	1.80509981695632	2.34174879472649	2.36798801878842	2.37949791010212	4.05579985716414	5.14102855297108	5.14102855297108	5.14102855297108	2.82076767201945	3.54302120830934	3.54088236223126	3.54088236223126	2.41407581600579	3.10067767365882	3.09362325885245	3.09362325885245	2.9802867568366	3.75385056676507	3.75385056676507	3.75385056676507
1601	1.76631489046959	2.27970084397648	2.34296057587728	2.37949791010212	3.92948903131339	5.14102855297108	5.14102855297108	5.14102855297108	2.69535795519202	3.55012123762354	3.54427497614013	3.54088236223126	2.34850833969716	3.08856553602916	3.08382916428157	3.09362325885245	2.91261687915815	3.74210145869622	3.75385056676507	3.75385056676507
2001	1.81017888129952	2.30895133389369	2.32667098543115	2.37949791010212	3.62017672697417	5.13342115811954	5.1311157890687	5.14102855297108	2.69183894942631	3.58770877691332	3.56477348282184	3.54088236223126	2.33009828259511	3.04468683774074	3.07370200388811	3.09362325885245	2.92897931007484	3.70358630838931	3.74550378434746	3.75385056676507
2401	1.72525328163819	2.25954953726831	2.28048893278907	2.37949791010212	3.52317016857809	5.16183429777279	5.16720067143868	5.14102855297108	2.64242984004395	3.53937583596057	3.55155011994373	3.54088236223126	2.32752730279125	3.00610148431716	3.00298087738474	3.09362325885245	2.85643124168069	3.68959485126481	3.70829953931306	3.75385056676507
2801	1.69728630345413	2.24686074302662	2.30788485609698	2.37949791010212	3.58765432049838	5.12888372643185	5.12399521045921	5.14102855297108	2.59552353376826	3.48132492803774	3.52463826157453	3.54088236223126	2.3118668959601	2.95614763970461	2.98436439904347	3.09362325885245	2.82964780001753	3.67148637936693	3.67241111053883	3.75385056676507
3201	1.66369239907485	2.26913904319141	2.22261921355695	2.37949791010212	3.56772133201103	5.12406104575714	5.10851501059063	5.14102855297108	2.54306127693872	3.4030698618262	3.48205050970322	3.54088236223126	2.25952294996076	2.96789336002772	2.99042940546175	3.09362325885245	2.75106093146297	3.64729830444498	3.64605977945444	3.75385056676507
3601	1.60145742560165	2.22729861415172	2.21872538738241	2.37949791010212	3.68893513606909	5.13023168582891	4.97692157269299	5.14102855297108	2.5472299111527	3.36730371341021	3.38664216916565	3.54088236223126	2.25628732317354	2.93347070606259	2.97212956396758	3.09362325885245	2.76557314481208	3.60440234841352	3.60586868861319	3.75385056676507
4001	1.65709288037373	2.19092209352337	2.20803319140071	2.37949791010212	3.54739659019276	5.0190523316757	4.99651588090797	5.14102855297108	2.51911030773589	3.33212140507649	3.35696508169453	3.54088236223126	2.18285498352582	2.89318212281866	2.91932251092799	3.09362325885245	2.74588272510159	3.5535431391052	3.51774633607521	3.75385056676507
4401	1.6408110146208	2.17521715642189	2.15953607816372	2.37949791010212	3.47090000821833	4.98441361388969	4.97556298690171	5.14102855297108	2.53052283057498	3.28274947411454	3.3337117113483	3.54088236223126	2.2169295448036	2.9204157284841	2.91347144482189	3.09362325885245	2.73399698826354	3.54247473510113	3.46907812552753	3.75385056676507
4801	1.5948440588833	2.20418677074305	2.16968120525995	2.37949791010212	3.45345261048532	4.84270981927723	4.84067234424852	5.14102855297108	2.49397599650399	3.28547827556666	3.29078110064334	3.54088236223126	2.18841297601287	2.90806569681375	2.83522701200865	3.09362325885245	2.72482535287631	3.57561533503697	3.48386465077636	3.75385056676507
5201	1.63256022145646	2.03901696531831	2.15900507311742	2.37949791010212	3.39076402224775	4.84400111137293	4.82227618029165	5.14102855297108	2.46336714099998	3.23888343465535	3.29102033742488	3.54088236223126	2.15760182050529	2.8556679636262	2.82983069871351	3.09362325885245	2.67777657983002	3.53441146332997	3.48783372323093	3.75385056676507
