i	xhat	x_rek	x_srk	x_gerk_ad	x_gerk_bd
1	0	-0.0898153643636698	-0	-0	0
2	0	0.989003291339155	1.44409108310605	1.02476788357534	0
3	0	0.92894686999629	0.49622371066693	0.466805020574368	0
4	0	-0.590638769717585	0	0	0
5	0	0.575866652011598	0	0.0489522713316877	-0
6	0	0.0760817768432994	0	0	0
7	0	-0.195493035962473	-0.146339312780402	-0.308656082060478	-0
8	0	-0.410613731375905	0	0	0
9	0	-0.163607445677922	-0.530773450849694	-0.652007107976425	0
10	0.0380781968087268	-0.289876608752187	-0	-0	0.0224922291223866
11	0	0.591589793524191	0	0	0
12	0	-1.68744540542132	-1.09310486670787	-0.80327212053778	0
13	0	0.691359715479264	0.146618136232121	0.694742447415189	-0
14	0	-0.690213582926223	0	0	-0
15	1.92622504896627	0.729145298924083	0.995916384552006	1.49767646235879	1.92222641583004
16	0	-0.900528210141935	-0.506160942534441	-0.516558521701432	0
17	-0.0175414474590896	0.0770361743578991	-0	-0	-0.0223607335595819
18	-0.442942490939643	-0.26032591709799	-0.529332388767422	-0.707228066271265	-0.439297338864083
19	0	0.389466856754333	-0	-0.220480238344862	-0
20	0	0.254435170214083	1.65512145962046	0.792713752240529	-0
21	0	1.0867926120655	0.410415931518754	0	0
22	0	-0.807995330748142	-0.23284046454229	-0.36069142903307	-0
23	0	-0.686364224800906	-0	-0	-0
24	0	1.02305667253311	0.585251408347542	0.637946251885236	0
25	0	0.161100303703415	-0	-0	0
26	0	0.268186552829995	0	0.0187406003689663	-0
27	0	0.732063798200232	0	0	0
28	0	-0.293161280930921	-0	-0	0
29	0	-0.781623636134401	-0.904952558176923	-0.572930541283011	0
30	0	0.443166436867152	0	0.814825792906099	0
31	0	-0.674232611371509	-0.204240270283876	-0	0
32	0	0.158856847533873	0	-0	-0
33	0	0.561686937049871	1.11124094879854	0.311222989103021	-0
34	0	0.463637115619925	0	0	-0
35	0	-0.107735530460504	0	0	0
36	0	-0.214327246286671	0	-0	0
37	0	-0.855858786817897	-1.22229094939559	-0.453343060755257	-0
38	0	1.90462179229699	1.64968378234116	1.7902077888563	0
39	0	0.723334346236005	0	0	-0
40	0	-1.28104695233033	-0.524122781799775	-0.641457508160091	-0
41	0	-1.23477140471306	-0.1773803739325	-0	0
42	0	-0.724105953026198	-0.590196645889034	-0.379144710142565	-0
43	0	0.391386561500528	0.575129017933488	0.353683909255246	0
44	0	-0.230828523317074	-0	-0	-0
45	0	-0.153278094888902	0.149214054162179	0	-0
46	0	-1.28734438709017	-1.7845967887488	-1.63482807732648	-0
47	0	0.250093520945662	-0	-0	0
48	0	-0.328500870621998	-0	-0.00655408926395751	-0
49	0	-0.145581368154187	0	0	-0
50	0	0.465520424764266	0.673161068224275	0.480156453585533	0
51	0.750849442057728	-0.578623165536851	0	0	0.747881957586166
52	0	-0.319714485175442	-0	-0	0
53	0	1.27787214594466	1.10006628564683	1.12510792813463	-0
54	0	-0.253531480945382	-0	-0	-0
55	0	-0.729094724553701	-1.42249255732946	-1.19264935443685	-0
56	0	0.570379614834768	0.23141026700595	0.407356223211686	-0
57	0	-0.388130686164476	0	0	-0.00213795445850806
58	0	0.357493817570929	-0	-0	-0
59	0	1.05559552132584	1.07556617966124	0.888191329925052	-0
60	0	0.674997475585727	0	0	-0
61	0	-0.255410965842258	-0	-0.332244902334404	-0
62	0	-0.522644243622697	-0.472059204498994	-0	-0
63	0	-0.737125978618836	-0	-0	0
64	0	0.722066035834948	0	0	-0
65	0	0.33189625694253	0	0.00681235714646888	0
66	0	-0.0253757830905433	-0	-0.380926089401145	-0
67	0	0.263735660381163	1.60380856453773	0.889734191524422	0
68	0	0.00906135842561581	-0	-0	-0
69	0	-0.32259266962239	-0.866150331438686	-0.282686666711379	0
70	0	0.497384894126294	0.636274872471866	0.519688428817089	-0
71	0	0.114882741795555	0.479495478928269	0	0
72	0.078665361111307	0.139990509662006	-0	-0	0.0774056078370098
73	0	1.33737426303804	1.15603527233364	0.717547264887848	-0
74	0	-0.232037407996121	-0	-0	0
75	0	0.229208061040759	0	-0	0
76	0	0.704891831238682	0	0	0
77	0	-0.378241689167551	-0	-0	0
78	0	-0.485961723672886	-0.0951630459628046	-0.0939994799922967	0
79	0	-1.09229243019137	-0	-0	-0
80	0.108547671699379	-0.465107944554691	-0	-0	0.110794361084002
81	0	0.141037988584387	-0	-0	-0
82	1.01093813038507	1.57142420377805	1.15263072852735	1.40635992106814	1.00888082062901
83	0	0.0863558621879389	0.543470901105977	0.329845776568428	-0
84	0	0.436916517591666	0.0157807026633456	0.219988009777154	0
85	0	0.740190272972841	0	0	0
86	0	-0.638573727450547	-0	-0.251507825151288	-0
87	0	-0.51390109510985	-0.050732682479941	-0	-0
88	0	1.28827084059226	-0	-0	-0
89	0	-0.060001544427875	-0	-0	-0
90	0	0.586335571010731	0	0	0
91	0	-0.279699211353857	0	-0	-0
92	0	0.310750743586217	0.233964253144363	0.327135560923837	-0
93	0	-0.13961953211694	-0	-0	0
94	0	1.12295110280874	0	0	-0
95	0	-0.0879064438901893	0	0	0
96	0	0.403979521184843	1.18149029625247	0.327019714412085	0
97	0	-0.73459512770828	-1.11551625879469	-0.630847523892429	-0
98	0	0.208803668608053	-0	-0	0
99	0	0.497972568996906	0.186482979055821	0.516470708008713	-0
100	0	-0.439581442416655	-0.30786969718897	-0.363526247056429	0
101	0	-0.560641432269268	0	0.0942999464665366	0.00211194014991634
102	0	-0.867054657752686	-0.467288686470402	-0	0
103	0	0.158691095249522	-0	-0	-0
104	0	-0.133094304241497	-0.395494578105954	-1.08251070927654	0
105	0	-0.266924693511202	0	-0	0
106	0	0.576313850819403	0	0.0222678316990983	0
107	0	-0.269031166682	-0	-0	-0
108	0	0.11629261940151	0	0	0.0045032066888524
109	0	0.00638178115888235	0	0.331367769932116	0
110	0	0.300889826054132	-0	-0	-0
111	0	0.897473794631161	0	0	-0
112	0	0.522075565307549	0.969474730043618	0.52162981925748	0
113	0	-0.598109867389958	-0	-0	0
114	0	0.0125639807417122	0	0	0
115	0	-0.369700825474491	-0	0	0
116	0	-0.315771747785097	0	0	-0
117	0	-0.12299294581617	-0	-0	0
118	0	-0.514862598174108	0	0	0
119	0	1.0611369455643	0.307639612572139	1.10076933460378	0
120	0	-0.261419838897179	-0	-0	0
121	0	-0.0600837256939822	0	0	0
122	0	-0.470231470202919	0	0	-0
123	0	-0.100220557253525	-0	-0	0
124	0	1.13355828874648	0.981324907953963	0	0
125	0	0.43087716364301	1.64127664159839	0.83968115335972	-0
126	0	-0.314990311851159	-0.83077234105102	-0.783184047205761	-0
127	0	-0.0663470569251169	-0	-0	0
128	0	0.00993563708243443	-0	-0.0951529345866042	0
129	0	0.706188270729261	0	0	0
130	0	-1.13340126664056	-0	-0	-0
131	0	-0.33661411863237	-0	-0.361764509792893	-0
132	0	0.253323401324432	0	0	-0
133	0	-0.493968632567069	-0	-0	-0
134	0	-0.271632239987023	0	0	-0
135	0	0.0393450272728881	-0	0	-0
136	0	0.439967210266528	0	0	0
137	0	-0.75093195047006	-0.725898120123853	-0.407093115154307	-0
138	0	-1.02203384886921	-0.0193274509871575	-0	-0
139	0	-0.679056390563774	0	-0	-0
